R,G,B
0.530425,0.626816,0.809101
0.530088,0.626532,0.808852
0.530443,0.626816,0.809048
0.530567,0.626852,0.809136
0.530177,0.626567,0.808870
0.530141,0.626532,0.808799
0.530159,0.626496,0.808710
0.530177,0.626496,0.808692
0.529590,0.626035,0.808231
0.529306,0.625733,0.807893
0.529733,0.626141,0.808302
0.528862,0.625413,0.807609
0.528827,0.625377,0.807502
0.530283,0.626656,0.808817
0.530780,0.626994,0.809225
0.530709,0.626976,0.809190
0.531864,0.628024,0.810326
0.530905,0.627065,0.809261
0.530603,0.626869,0.809030
0.529484,0.626088,0.808089
0.528987,0.625484,0.807573
0.530052,0.626496,0.808515
0.529129,0.625573,0.807644
0.530354,0.626621,0.808728
0.529288,0.625644,0.807751
0.530461,0.626638,0.808746
0.530550,0.626745,0.808888
0.530638,0.626798,0.808941
0.530425,0.626656,0.808692
0.530088,0.626372,0.808373
0.528507,0.625111,0.807023
0.528098,0.624756,0.806685
0.528027,0.624720,0.806632
0.529253,0.625804,0.807769
0.527708,0.624560,0.806526
0.528827,0.625360,0.807307
0.526376,0.622997,0.804820
0.524884,0.621914,0.803844
0.528507,0.625147,0.807058
0.527530,0.624205,0.806046
0.528756,0.625324,0.807200
0.528702,0.625360,0.807449
0.529324,0.625821,0.807804
0.528951,0.625395,0.807272
0.527743,0.624347,0.806206
0.528010,0.624596,0.806454
0.525949,0.622909,0.804749
0.526695,0.623512,0.805318
0.529466,0.626141,0.808177
0.528276,0.624898,0.806685
0.529484,0.625768,0.807609
0.529182,0.625520,0.807378
0.528507,0.625040,0.806845
0.528010,0.624596,0.806383
0.528898,0.625324,0.807218
0.528969,0.625413,0.807112
0.529431,0.625679,0.807467
0.529519,0.625768,0.807538
0.529519,0.625750,0.807538
0.529537,0.625750,0.807573
0.529502,0.625733,0.807520
0.528827,0.625271,0.807076
0.528738,0.625218,0.807041
0.528756,0.625289,0.806934
0.527814,0.624312,0.806046
0.528915,0.625271,0.807023
0.528400,0.624933,0.806721
0.528969,0.625360,0.807041
0.529271,0.625466,0.807183
0.528294,0.624578,0.806295
0.528010,0.624187,0.805868
0.529164,0.625342,0.806970
0.529004,0.625129,0.806810
0.528489,0.624702,0.806348
0.527956,0.624134,0.805780
0.528329,0.624685,0.806241
0.527956,0.624330,0.805957
0.527406,0.623797,0.805389
0.528241,0.624649,0.806188
0.527903,0.624258,0.805851
0.527868,0.624205,0.805797
0.528471,0.624791,0.806348
0.528134,0.624507,0.806099
0.528667,0.624987,0.806543
0.528596,0.624862,0.806419
0.528365,0.624702,0.806312
0.527725,0.624241,0.805868
0.528205,0.624738,0.806472
0.529999,0.626354,0.808248
0.528756,0.625129,0.806685
0.528756,0.624987,0.806526
0.527406,0.623903,0.805336
0.527495,0.624010,0.805424
0.527992,0.624170,0.805549
0.526695,0.623335,0.804714
0.526713,0.623353,0.804643
0.525328,0.622074,0.803382
0.525434,0.622127,0.803471
0.526376,0.622891,0.804376
0.528134,0.624330,0.805797
0.529182,0.625164,0.806614
0.529306,0.625253,0.806703
0.528543,0.624667,0.806081
0.528329,0.624454,0.805851
0.529129,0.625200,0.806561
0.529271,0.625289,0.806632
0.529253,0.625235,0.806614
0.529182,0.625200,0.806561
0.527139,0.623495,0.804749
0.528365,0.624525,0.805780
0.529093,0.625147,0.806454
0.529111,0.625129,0.806454
0.528578,0.624720,0.806010
0.527086,0.623477,0.804767
0.525861,0.622536,0.803790
0.527814,0.624241,0.805513
0.528702,0.625022,0.806561
0.529661,0.625910,0.807520
0.527051,0.623406,0.804714
0.526944,0.623584,0.804696
0.526429,0.622838,0.804110
0.526269,0.622713,0.803915
0.526589,0.622909,0.804234
0.527122,0.623282,0.804536
0.528383,0.624330,0.805637
0.528347,0.624436,0.805744
0.528987,0.625093,0.806454
0.530390,0.626443,0.807964
0.529306,0.625040,0.806383
0.528223,0.624312,0.805513
0.527352,0.623601,0.804838
0.528383,0.624472,0.805744
0.529022,0.625040,0.806312
0.529946,0.625839,0.807165
0.530141,0.625964,0.807431
0.531970,0.627438,0.809367
0.530869,0.626834,0.808390
0.531597,0.627633,0.809048
0.531171,0.627260,0.808710
0.532610,0.628432,0.809953
0.531917,0.627615,0.809136
0.531793,0.627669,0.809172
0.529395,0.625253,0.806685
